,date,reviewNo,employeeType,position,summary,pro,con,advice,overallStar,reviewLink
15, 13 May 2018,empReview_20563310,Former Employee - Founder,I worked at Accenture full-time (More than 5 years),A great company overall,Democratic set upGlobal cultureWell organised,Career path not well definedInter business transfers can be better,Pl look into career growth challenges of women employees,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20563310.htm
16, 13 May 2018,empReview_20560011,Current Employee - Subject Matter Expert,I have been working at Accenture full-time (More than a year),It's had been Amazing so far,It has guven me Great learning experience,Low on Flexibility and hours,Try to create more positions within the same department,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20560011.htm
17, 13 May 2018,empReview_20560391,Former Employee - Software QA Analyst,I worked at Accenture full-time (More than a year),Good,1) Great working atmosphere2) Good perks provided by the company.3) Chances of going abroad for work through company.,"1) You can't choose the field, it is like a lottery if it your first company.",None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20560391.htm
18, 12 May 2018,empReview_20553582,Current Employee - Associate Manager,I have been working at Accenture full-time (More than 5 years),Accenture - Becoming too big to manage,Nice work culture to work for.,"Hikes are too low, for promotion just expect 15 % hike.",Mid Level Management should be improved.,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20553582.htm
19, 12 May 2018,empReview_20553990,Current Employee - Senior Applications Developer,I have been working at Accenture full-time (More than 3 years),Accenture Review,Good work - life balance,Good hike is not provided,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20553990.htm
20, 12 May 2018,empReview_20557826,Former Employee - Anonymous Employee,I worked at Accenture full-time (More than 3 years),Business Analyst,Good Career options and growth. Opportunities to avail professional certifications @ the cost of the CompanyWell organized structure.,Less recognition to the qualified candidate and work,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20557826.htm
21, 12 May 2018,empReview_20550870,Current Employee - Senior Software Engineer,I have been working at Accenture full-time (More than 8 years),Excellent company with numerous opportunities,Big brand and work culture. Opportunity to work with big fortune 100 clients,Salary offered to existing employees and promotions are getting tight every year,Have a check on HR to ensure they play thier role fairly and not under the influence of the project,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20550870.htm
22, 8 May 2018,empReview_20481254,Current Employee - Having Work Experience In MSBI and Power BI Tools,I have been working at Accenture full-time (More than 5 years),NA,"Friendly Work Environment,Career Growth and Development...",Less Opportunities in Implementing Innovative Solutions.,NA,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20481254.htm
23, 10 May 2018,empReview_20535461,Current Employee - Systems Engineer,I have been working at Accenture full-time (More than 3 years),great place to work,Everything here in this organization is good.,Nothing as such I noticed.,great.,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20535461.htm
24, 10 May 2018,empReview_20521244,Former Employee - Senior Software Engineer,I worked at Accenture full-time (More than 3 years),Process Oriented culture,Good work life balance.Multiple projects to keep a resource engaged.,Difficult to move out of a project.,Bring more transparency to the appraisal process.,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20521244.htm
