,date,reviewNo,employeeType,position,summary,pro,con,advice,overallStar,reviewLink
226, 12 Apr 2018,empReview_20136981,Former Employee - Software Engineer,I worked at Accenture full-time (More than a year),Software Engineer,"employer friendly, work culture, nature of work",less challenging work & growth,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20136981.htm
227, 12 Apr 2018,empReview_20137463,Current Employee - Delivery Excellence Analyst,I have been working at Accenture full-time (More than 3 years),Nice place to work,Focus on latest emerging technologies if you are in developmentSalary hikes and recognition is good,"For support, they have sub level kind of movement, so, you gotta wait for a couple of years moving sub levels until you can get to next levelFor Support projects, they have rotational shifts, these are not that great.",Improve Mindspace's Accenture's facilities,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20137463.htm
228, 26 Apr 2018,empReview_20318207,Current Employee - Test Engineering Analyst,I have been working at Accenture full-time (More than 3 years),Test engineering analyst,"Learning is there, Opportunities are there,Good package initially","Management , No Work life balance.",None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20318207.htm
229, 26 Apr 2018,empReview_20330181,Current Employee - S S E(Senior Software Engineer),I have been working at Accenture full-time (More than a year),Great work culture,Work cultureAmple projectsProfessional colleaugesInfraEmployee friendly,Give a proper response to the candidate if he/she is selected/rejected,keep up the good work,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20330181.htm
230, 27 Apr 2018,empReview_20331021,Former Employee - Systems Analyst,I worked at Accenture full-time (More than a year),Its good depend on the project,"Good Shift Allowance , Employee care will be more , after office hours no one will disturb you .","Regional politics will be more , Few projects leads are not eligible candidates",Please have a skip level meetings with employees,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20331021.htm
231, 11 Apr 2018,empReview_20114620,Current Employee - Team Lead,I have been working at Accenture full-time (More than 3 years),A Good Place to be,Work Life BalanceAmazing and unique Leaders,Not so great facilityToo many policies,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20114620.htm
232, 11 Apr 2018,empReview_20120911,Current Employee - Business Operations New Associate,I have been working at Accenture full-time (More than a year),It's good if you're working directly with Accenture without any process,It's a very employee friendly company,10 hours of shift is the worst part,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20120911.htm
233, 10 Apr 2018,empReview_20089067,Current Employee - Specialist,I have been working at Accenture full-time (More than 8 years),Specialist,Great place for women to work. Extremely employee centric.,No market correction in terms of compensation for internal employees,Compensation to be revisited for the existing employees,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20089067.htm
234, 10 Apr 2018,empReview_20089044,Current Employee - Network Operations Engineer,I have been working at Accenture full-time (More than 3 years),Network Operations engineer,"Great infrastructure, Goff facilities, good hike",Growth is not there . Management is not good,Please get a life,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20089044.htm
235, 10 Apr 2018,empReview_20093279,Former Employee - Applications Developer Analyst,I worked at Accenture full-time (More than a year),Awesome workplace,Work culture is at its best and the company lives by its core values .There is always a room for growth,Need to work hard to deliver challenging projects,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20093279.htm
236, 24 Apr 2018,empReview_20282954,Current Employee - Team Lead,I have been working at Accenture full-time (More than a year),Team Lead,Enough technology scope to learn,Managers stays and keep his bestie secured ...U have to lick out to survive specifically in kolkata location...Other location is good,None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20282954.htm
237, 24 Apr 2018,empReview_20286692,Current Employee - Applications Development Senior Analyst,I have been working at Accenture full-time (More than 5 years),Application Development Senior Analyst,"Work from home Option , Transportation Facility","Poor Hike, Poor Management ,",None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20286692.htm
238, 24 Apr 2018,empReview_20296270,Former Employee - Applicatiion Developer,I worked at Accenture full-time (More than 3 years),Good Experience,"Salary hike is better of other service based companies.You can get an opportunity to work in both development and support projects, unlike other companies where most of the projects are support only.You can get work from home depending upon your Team and managers attitude.Overall Accenture is quite employee friendly",there are no cons as such,None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20296270.htm
239, 9 Apr 2018,empReview_20074245,Current Employee - Software Engineer,I have been working at Accenture full-time (More than a year),One of the best Experience of life,"good culture, great to join as a fresher , nice management , healthy discussions",nothing is the cons. Its a great company,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20074245.htm
240, 9 Apr 2018,empReview_20086539,Current Employee - Team Leader,I have been working at Accenture full-time (More than a year),Good Place to Work,Nice Environment.Motivated Seniors.Opportunity to be cross trained .Options to learn new technologies.,Less onshore opportunity.No more cons till date,No as such advice till date.,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20086539.htm
241, 9 Apr 2018,empReview_20086894,Current Employee - Automation Engineer,I have been working at Accenture full-time (More than 3 years),Good atmosphere to work,Good learning and growth opportunities and can have exposure to many cultures world wide.,Leadership Hierarchy is the main problem.,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20086894.htm
242, 9 Apr 2018,empReview_20071760,Current Employee - Supply Chain Associate,I have been working at Accenture full-time (More than 3 years),About Accenture,A best place to learn and grow for any employee,I felt the Shift issue,Nothing,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20071760.htm
243, 9 Apr 2018,empReview_20074861,Current Employee - Applications Developer,I have been working at Accenture full-time (More than 3 years),"Good environment, supportive people, better policies","Good environment, supportive people, better policies",No regular opportunities for Employee to learn new things,Create regular opportunities for Employee to learn new things,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20074861.htm
244, 9 Apr 2018,empReview_20078429,Current Employee - Applications Developer,I have been working at Accenture full-time (More than 3 years),Nice Place to start your carrer,->Very good work culture environment-> Employees Oriented->Outstanding Management,--> Follows typical HR policies .,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20078429.htm
245, 9 Apr 2018,empReview_20079844,Current Employee - S S E(Senior Software Engineer),I have been working at Accenture full-time,good company to work for,best annual hike every year,difficult to change projectsPIP for certain number of employees,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20079844.htm
246, 21 Apr 2018,empReview_20254683,Current Employee - Applications Development Analyst,I have been working at Accenture full-time (More than 3 years),Current job culture of Accenture is not good and I don't recommend someone to switch to Accenture.,Comparing to other MNC it's having good culture.,"If you don't want to learn anything and ready to cross train to a different technology without any training and that is required for 2-3months, and it might be required for you to cross train again to a newer one. By which you can neither learn, nor utilize your abilities and abilities.",Please don't share resources just because you need to allocate the minimum budget and get reward for it. As a lower level employees its very difficult to handle 3 projects at a time and in return he/she is not getting anything out of it. You should respect then as they are working so hard to deliver your services to client. And please utilize other people who are not working. So that it will not be a pressure on the people who are working.,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20254683.htm
247, 23 Apr 2018,empReview_20269660,Current Employee - Applications Development Analyst,I have been working at Accenture full-time (More than 3 years),Ok Ok,"Grand Welcome for freshers,No stupid rules like infosys and wipro (log-in time)Initial hikes and allowances are good enough",You will not get to work in technology/ project which you like and you have to comprimise with your career which is the same case with most of the consulting companies.You will be forced to work in the projects though you aren't interested in the technology/domain which you don't likeThe chances that you get a development project are really less. There are mostly support/maintanance projects here.,Consider personal interest along with the business needs.,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20269660.htm
248, 23 Apr 2018,empReview_20270001,Current Employee - Applications Development Analyst,I have been working at Accenture full-time (More than 3 years),Good Salary with Zero Growth,1. Salary2. Free Transport3. Work Life Balance4. Allownace for shift,1. No competive peers.2. No Talent retention agenda.3. Only workable staff with no out of box thinking.,Retain your talented employees by giving them the best compensation. You are letting many of them go for big 4 companies. The staff left behind are not interested in IT they just create any system architecture without the valuable resources.,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20270001.htm
249, 8 Apr 2018,empReview_20062872,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 8 years),Excellent,It is a Good oraganisation,Depends on type of project,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20062872.htm
250, 8 Apr 2018,empReview_20065157,Current Employee - Manager,I have been working at Accenture full-time (More than 10 years),Accenture is a great place to work,"Opportunities, Culture and quality of experience",Can be too compartmentalized at times,Focus on building good leadership,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20065157.htm
251, 8 Apr 2018,empReview_20065300,Former Employee - Digital Security Analyst,I worked at Accenture full-time (More than 3 years),One of the most recommended IT service Company,1>One of the best salary structure and hikes.2>Large setup and plenty opportunities in almost all technical domains.3>Employee policies and facilities are one of the best one organization can give in India.,"1>In IT it all matters with projectYes there are TL, managers in Accenture as well ,like other Organizations who are good for nothing except politics.",Recognize the real team player and do not entertain who are just there to take salary,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20065300.htm
252, 8 Apr 2018,empReview_20065508,Current Employee - Process Associate,I have been working at Accenture full-time (More than a year),Work Environment,"Awesome policies, employee centric, good growth",Not to good to join as a fresher.,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20065508.htm
253, 8 Apr 2018,empReview_20063963,Current Employee - Applications Development Senior Analyst,I have been working at Accenture full-time (More than a year),Good Learning,Good LearningAggressive OutlookFast Paced Growth,Work Life BalancePersonal Aspirations are not that much looked upon,Employee Satisfaction,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20063963.htm
254, 23 Apr 2018,empReview_20264411,Former Employee - Associate Software Engineer,I worked at Accenture full-time (More than a year),As Average IT company,"Nice teammates, Good time, good work-life balance (only if you are on bench).",Managers like politics (within his team).Salary is not good for freshers and not a good hike for anyone (even on promotion).,Please stay at Accenture only. Don't ruin other companies.,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20264411.htm
255, 23 Apr 2018,empReview_20264359,Former Employee - Business Analyst,I worked at Accenture full-time (More than a year),It was pretty good experience working at Accenture Solutions (Google Account),Nice infrastructure and great work ethics and culture (although my worklocation was actually client location),Lack of adequate training and thorough guidance by upline management. The relation between subordimate and upline is not upto the mark and missing. The manager or upline role is simply frustrating experience and very few were observed who were actually guiding the team mates for better career growth rather than self growth.,It will be better if uplines are supportive enough,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20264359.htm
256, 5 Apr 2018,empReview_20032310,Former Employee - Team Lead,I worked at Accenture full-time (More than 8 years),Vision,Nice Pay and hikes...flexibility during your work...nice working and positive working environment...Accenture take care off its employees....its one of the best company to serve....proud to be Accenturite...,Fewer implementation projects in latest technology....need to hire junior folks into development project for their learning curves...instead of assigning support project which can result in decline growth,Get as many implementation projects with latest product...,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20032310.htm
257, 7 Apr 2018,empReview_20057938,Former Employee - Analyst,I worked at Accenture full-time (More than a year),Wonderful,Great working environmentSupportive HR policiesGreat annual hikesGreat opportunities on-siteYou can truly work here for long term,Office politics in promotionsToo much focus on what client wantsSome ridiculous policies by the Senior manager as a level above is not aware.,Client is not everything,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20057938.htm
258, 8 Apr 2018,empReview_20061559,Current Employee - Team Lead,I have been working at Accenture full-time (More than 5 years),Nice Company to work,Good platform and has good salary increment for people,Too huge to understand everything,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20061559.htm
259, 8 Apr 2018,empReview_20062112,Current Employee - SAP Security Consultant,I have been working at Accenture full-time (More than 3 years),I have a really good experience with Accenture . Worked on latest technologies like HANA GRC Fiori and SAP Security,Work environment is really good and various trainings keep you aware about lasted technologies in the market. You also get a good ethical environment here to work as ac professional.,You have to keep your learning attitude always up to work on latest technologies. You have to create your own opportunities,No advice,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20062112.htm
260, 13 May 2018,empReview_20567701,Current Employee - Business Operations Associate,I have been working at Accenture full-time (More than a year),Long working hours with less salary,Good learning sites. There is nothing more about pros in this company.,"Long Working hours, Less salary, full politics",Give hikes and options to the talented persons but not to scratching batch,1.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20567701.htm
261, 7 Apr 2018,empReview_20053957,Current Employee - Software Test Analyst,I have been working at Accenture full-time (More than a year),Accenture Review,Big organisation with amazing work environment. Lots of opportunity to grow by it's automation and Innovation approach.,"Nothing much to worry about, only issue is you will be stuck in one domain for a long time which could sometimes makes work monotonous.",Assist junior level resources with more responsibilities and help in more business level approach.,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20053957.htm
262, 7 Apr 2018,empReview_20058008,Former Employee - Anonymous Employee,I worked at Accenture full-time (More than a year),Experience at Accenture India,Best workplaces with exciting projects and great work culture,Poor talent recognition and pay enhacement,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20058008.htm
263, 8 Apr 2018,empReview_20061642,Current Employee - Software Associate,I have been working at Accenture full-time (More than 3 years),Software Analyst,HR Policies and Work Life Balance with career opportunities,Package is not as per market standard,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20061642.htm
264, 8 Apr 2018,empReview_20061900,Current Employee - Service Transition Manager,I have been working at Accenture full-time (More than 8 years),Thought leaders,Extremely good at envisioning the future trends and getting prepared before the rest of the competitionGreat thought leaders who are competent to drive client engagements with ease,Extremely aggressive and demanding cultureWork life balance issues at higher levels,Lets try and bring in initiatives for work life balance across levels,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20061900.htm
265, 6 Apr 2018,empReview_20041882,Former Employee - Anonymous Employee,I worked at Accenture full-time,Test Lead,Good career opportunitiesGreat compensation when you work onsiteWork life balanceOrganized structure,There is nothing i have to mention,nothing,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20041882.htm
266, 6 Apr 2018,empReview_20047250,Current Employee - Senior Associate,I have been working at Accenture full-time (More than a year),Excellent Employer,They trust and respect each other.They innovate to make life better.,The only drawback i can point out is Transportation,NIL,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20047250.htm
267, 21 Apr 2018,empReview_20251887,Current Employee - Senior Software Engineer,I have been working at Accenture full-time (More than 5 years),Too much pressure no work life balance,Only transport benefit. Nothing else,So much pressure. No work life balance. Saturday Sunday also we have to work .some projects has no proper plan.lots of pressure.if you are sse means you have to do everything .leads and manager will do only resources allocation.no coding nothing.,Don't want to give .,2.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20251887.htm
268, 6 Apr 2018,empReview_20043028,Current Employee - Software Engineer,I have been working at Accenture full-time (More than 3 years),Accenture,Great company to start with,Not much as of now.,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20043028.htm
269, 6 Apr 2018,empReview_20045591,Former Employee - Software Engineer,I worked at Accenture full-time (More than a year),Accenture India Review,"The work culture is very good, and you get to work with great people",You don't have a chaoice in choosing your project,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20045591.htm
270, 20 Apr 2018,empReview_20236068,Former Employee - S S E(Senior Software Engineer),I worked at Accenture full-time (More than 3 years),Good Company towork,Work life balanceChilled environmentProcesses are well defined,not much hike .need to wait many year to get promoted,None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20236068.htm
271, 20 Apr 2018,empReview_20236490,Former Employee - Associate Manager,I worked at Accenture full-time (More than 10 years),Have become a company full of unprofessional peoples,"No ProsHaving worked for about 13 years, all I can say is they should change their name to ""Descent to a new LOW everyday""","Unprofessional HR, senior ManagerNo Work Life balanceNo help whatsoever for people returning from long sick leaves, they will show you out as soon as you get back from your health LOA",These are the worst lots...any advice would fall on deaf ears,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20236490.htm
272, 20 Apr 2018,empReview_20236806,Former Employee - Software Engineer,I worked at Accenture full-time (Less than a year),Good,Nice to work and exposure,Busy schedule and workload and and,None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20236806.htm
273, 20 Apr 2018,empReview_20241571,Former Employee - Software Engineer,I worked at Accenture full-time (More than a year),Good working environment but no values for tecnical employee,Good working environmentFlexible timingsNice facilities in office,No values for technical skilled guy only you need to make your manager happy if you wanna survive in company.,Please give some values for technical employee not only those who are chit chat with you nicely.,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20241571.htm
274, 20 Apr 2018,empReview_20247707,Current Employee - Medical Services Senior Analyst,I have been working at Accenture full-time (More than 5 years),Salary,"Medium for Lower for fresher's, high for Seniors","Lengthy working hours, not giving promotion to tenured staff","To give promotion for tenure staff rather than Hiring from outside, yearly bonus should be given",3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20247707.htm
275, 3 Apr 2018,empReview_19992568,Former Employee - Senior Learning Consultant,I worked at Accenture full-time (More than 5 years),"Associate manager, learning services","Great coaches, people are given second chances, leadership and skill development opportunities are galore, excellent processes, good succession planning, rewards and recognition is good, currency in industry trends, stable company and job security, executive culture is phenomenal","Politics, Cross industry exposure required, better pay, handling of hi potential talent needs to improve, poor work life balance",Bring more trendy instruments in talent management and development,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW19992568.htm
276, 5 Apr 2018,empReview_20024214,Former Employee - Specialist,I worked at Accenture full-time (More than 3 years),Excellent Place to work.,Great exposure due to size and magnitude of organisationGreat pay master,Na NA NA NA NA,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20024214.htm
277, 5 Apr 2018,empReview_20026002,Current Employee - Program and Operation Associate,I have been working at Accenture full-time (Less than a year),Awesome company,Thinks people as a asset.Lots of benefits for the employeesBest company to work forLot of push for equality which I like the most.,I don't think any is there,Keep up the good work,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20026002.htm
278, 5 Apr 2018,empReview_20025969,Current Employee - SSE,I have been working at Accenture full-time (More than 3 years),Nice,Nice company to work here,no cons I have to write,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20025969.htm
279, 5 Apr 2018,empReview_20026648,Current Employee - Cloud Migration and Implementation Delivery Engineer,I have been working at Accenture full-time (More than 3 years),I am looking for a better opportunity in a DEVOPS field as I am working as Cloud Migration and Implementation Delivery,"Accenture is a very great company to learn and grow, I have learned alot techincal stuffs which includes entirely Devops part",Looking forward for better opportunity.,Management is great.,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20026648.htm
280, 11 May 2018,empReview_20541007,Current Employee - Clinical Support Specialist Lead,None,Worst Recruitment by the team,I have not found any as begining itself was worst. Interview room and interview went good.,"Even the basic interview process also not good. The worst part is false promises and extending the offer with no reason. For a month HR keep saying will call you back. I asked strictly whether selected or not, she informed selected and received mail as well. But no offer for a month. Don't understand what management is doing. They are thinking too smart that simply said selected so the employee will wait for a month. The worst behaviour which I faced for team lead for eTMF position.",Please don't play with employee life. Be frank and make sure to send offer letter as soon as possible. Don't use games to hold the employee simply by saying selected.,1.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20541007.htm
281, 12 May 2018,empReview_20551029,Current Employee - Applications Developer Associate,I have been working at Accenture full-time (More than a year),Horrible experience as it's totally depends upon in what kind of project you are.,I don't feel anything good here...just salary on time and that too very less,"Totally based on your managers and leads moods, they want to you be their slave, you should not have their opinion and timing constraints are only for you not for managers and leads",Please make more stringent rules for managers so that they cannot exploit freshers,1.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20551029.htm
282, 12 May 2018,empReview_20551118,Current Employee - ASE,I have been working at Accenture full-time (More than a year),Worst for Freshers,The only good thing is you can understand how MNCs work,"Worst for freshers especially. Your background, skills, interest is not at all taken into consideration.",None,1.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20551118.htm
283, 5 Apr 2018,empReview_20024007,Current Employee - Senor Software Engineer,I have been working at Accenture full-time (More than 3 years),Nice company with Good perks,"Accenture is a employee friendly company and have very good policies for employees, you will find very co-operative Seniors and HR management is also good, overall good experience.","HR management is poor at the time of hiring ,no co-ordination ,random day calls, no response for the interview schedules, Bonus pay will be less, they will not provide 100% bonus to employee","Management is cool, just have one point to add, please let employee switch the project once they are not ready to continue on your project ,let them grow and learn new things.",4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20024007.htm
284, 5 Apr 2018,empReview_20024205,Former Employee - Software Engineer,I worked at Accenture full-time (More than 3 years),Excellent place to work,Well organised way of delivery modelBest infrastructureSupport for new ideasTransportation is a benefitZero benchBest people,Career growth is bit slow as they conduct moderation cycle once in a year.Tip : Don't join Chennai projects,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20024205.htm
285, 5 Apr 2018,empReview_20027591,Former Employee - Applications Developer Analyst,I worked at Accenture full-time (More than 3 years),Accenture Company Review - Mumbai Office (India),1) Work culture is amazing.2) Diverse crowd helps you improve your interpersonal skills.,1) Employees don't get job profiles in which they are really interested.2) Freshers from college are randomly assigned a Technology in which they have to undergo training even though they are clueless about the technology.,None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20027591.htm
286, 5 Apr 2018,empReview_20038712,Current Employee - Oracle Database Administrator,I have been working at Accenture full-time (More than 5 years),Accenture Review,Good workplace to work with. Convenient facilities in all way.,"By employee point of view, This is not fair to learn various technologies while being in a single role. They should have offer broad way to implement more and learn more..........",None,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20038712.htm
287, 6 Apr 2018,empReview_20040189,Current Employee - Team Lead,I have been working at Accenture full-time (More than 5 years),Software Developer,1. Good work environment2. Competitive salaries for lateral joinees3. Respect for people4. Accessible leadership5. Care for concerns6. Strong policies7. Respect for personal challenges and flexible work hours ( project specific )8. Good training and learning platforms9. Emphasis on collaboration and development of skills other than project specific tasks,"1. Hikes have dried up in the recent years2. Timeline estimates are often too optimistic3. Too much focused on delivery, approvals for training, sessions etc are not easy.","It is important to let employees have fun. Too much focus on work makes them bored and dull.Wonderful initiatives on gender diversity, inclusion of all etc. :)",4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20040189.htm
288, 19 Apr 2018,empReview_20220490,Current Employee - Software Engineer,I have been working at Accenture full-time (More than 3 years),Accenture Used to be a good company but due management failure going on a wrong direction.(NOT TOO LATE),good work culture.good core values.good resources.hike is also good.cab facility.,"HR does not get involved at all unless it is them who is taking the heat.Management people are awful. if they like you, you can get away with anything and if they dont no mattaer what you do how hard you work it wont amount to anything at all.",be more active.support technical people. check who is talking big game and who is actually winning you big games.recognize talent skill and hardwork,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20220490.htm
289, 19 Apr 2018,empReview_20226523,Current Employee - Software Engineer,I have been working at Accenture full-time (More than 3 years),Accenture review,With the company for 3 years now.Totally depends on project how your life will be.,No work life balance.Appraisal and hike sucks,Listen and discuss people's problem,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20226523.htm
290, 19 Apr 2018,empReview_20234421,Current Employee - Senior Software Engineer,I have been working at Accenture full-time (More than 3 years),Worked at Accenture for around 2.5 years,Good company to get onsite opportunity. Good working culture (depends on project),"Need to develop technical skills on your own , don't be dependent on Project. Management should be aware of what technology is being used in project .",None,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20234421.htm
291, 4 Apr 2018,empReview_20005636,Current Employee - Manager,I have been working at Accenture full-time (More than 3 years),Great place to work,1) Good Work life Balance. 2) Good Team support 3) Good Pay scales,Nothing to mention in Cons.,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20005636.htm
292, 4 Apr 2018,empReview_20020590,Former Employee - Applications Development Analyst,I worked at Accenture full-time (More than a year),Expereience,Great place to workGreat compensationHierarchy of the positions is very goodPeers are very supportiveGood opportunities,There are no cons from my side,None,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20020590.htm
293, 4 Apr 2018,empReview_20022102,Former Employee - Applications Development Analyst,I worked at Accenture full-time (More than 3 years),Software Developer,Healthy work culture with good salary with exposure to new technologies.,None that I came across.,None that I can think of.,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20022102.htm
