,date,reviewNo,employeeType,position,summary,pro,con,advice,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,reviewLink
132, 8 May 2018,empReview_20486627,Current Employee - Associate Software Engineer,I have been working at Accenture full-time (More than a year),Average Company with Average People,All depends on the project.,"very less pay, to change a small code you have to ask to Lead.",No. There should listen to the ideas of the Juniors.,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20486627.htm
133, 8 May 2018,empReview_20492171,Current Employee - Associate Applications Developer,I have been working at Accenture full-time (More than a year),A Great Company for the Ladies,"1. Great Coordination between the team, provided the manager is good.2. Good Employee benefits.",1.Paygrade is minimal.2. Promotions are overdue.,Must chose the managers wisely,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20492171.htm
134, 8 May 2018,empReview_20496164,Former Employee - Senior Software Engineer,I worked at Accenture full-time (More than a year),Average company to join,Good package in comparison to other service based company.Employee friendly.Technology stack is good.Good policies.,Bench system sometimes nothing to work.Sitting idle upto 6 months no project.They focus on billing in project so add too many resources irrespective of workload.,None,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20496164.htm
135, 8 May 2018,empReview_20497591,Current Employee - Team Lead,I have been working at Accenture full-time (More than 3 years),Good company to work,open to innovationopen to good and new technologiesvery good work ethics,"very much project dependency, if you are chargeable its hard to get rolled off.false promises by management to retain you.salary increment is not transparent and fair.office politics",they have to more honest and transparent to the employee.,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20497591.htm
136, 9 May 2018,empReview_20499118,Current Employee - Senior Business Analyst,I have been working at Accenture full-time (More than 3 years),Review,The management is good along with that you get a global exposure with good clients.,"The salary structure is not good , they need to give better salary to exiting employees rather than hiring external people with double amount.",None,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20499118.htm
137, 23 Apr 2018,empReview_20271527,Former Employee - Applications Development Analyst,I worked at Accenture full-time (More than 3 years),Application Development Analyst,One of the best place to learn and grow,"An employee needs to be diligent to succeed, its not a cake walk to achieve something big",None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20271527.htm
138, 8 May 2018,empReview_20491640,Current Employee - Data Analyst,I have been working at Accenture full-time (More than 3 years),Mostly Service Based Projects,None. Nothing is good here.Good looking people gets appreciated.,"All. Everything is gone to vein. They say ""We hire only BEST people"". In real hire people who can say their name properly.",Don't lie to people,2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20491640.htm
139, 23 Apr 2018,empReview_20264811,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 3 years),Good company for freshers,provides lot of free classroom and digital trainings to upskill and reskill its employees,none that can be thought of,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20264811.htm
140, 23 Apr 2018,empReview_20267337,Former Employee - Maharashtra,I worked at Accenture full-time (More than a year),Good place to work,Very good work environment and culture,HR experience to be more personalised,more transparent appraisal process,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20267337.htm
141, 23 Apr 2018,empReview_20277113,Former Employee - Software Engineering Analyst,I worked at Accenture full-time (More than 3 years),Mixed opinion,Work culture is amazing,"Career growth is restricted for associate engineers as the management chooses the technology you would work, no priority given to your area of interest. So, its just luck if you get to work in the field you love, embrace it!!:)",None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20277113.htm
142, 23 Apr 2018,empReview_20278188,Former Employee - Associate Software Engineer,I worked at Accenture full-time (Less than a year),Associate Software Engineer,"The work culture at Accenture is awesome. Co-curricular activities and events ensure the rejuvenation of the employees. Also, the safety of the employees is taken care of.",Some projects are very demanding and disturb the work-life balance.,To ensure that the proportion of the work-load and number of employees is well maintained and not to overlook the caliber of resources under the umbrella of corporate politics.,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20278188.htm
143, 24 Apr 2018,empReview_20280626,Former Employee - Anonymous Employee,I worked at Accenture full-time (More than 5 years),F & A exp,It's help me to build my career,No downsides find in Accenture,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20280626.htm
144, 7 May 2018,empReview_20463840,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 3 years),Work Life In Accenture,All is project dependentGood project - good hike and good scope to built the career.Vast pool of learning material,1. Variable is too high and you wont get .2. Finding project is big task3. Heavy Politics on Floor4. Less talent oriented rather they take referred friend /family member preferred more even though technically weak.5. Pay is less compare to market,Transparency is mustPlease count talent work,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20463840.htm
145, 7 May 2018,empReview_20464720,Current Employee - Analyst,I have been working at Accenture full-time (More than a year),Overall Good experience,-Direct interaction with client in some projects.-WFH option available in some projects.,-Lower growth rate.-Lesser learning opportunity.,None,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20464720.htm
146, 7 May 2018,empReview_20468054,Former Employee - Analyst,I worked at Accenture full-time (More than 8 years),"SAP HR (end-user), LMS (Learning Management System) and Reporting",Job security and working environment,Less payment and no good career growth,Listen to the lower grades employees aswell.,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20468054.htm
147, 7 May 2018,empReview_20480057,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 3 years),Accenture,good exposure.one of the leading IT compnay.Many areas to work on.,Constant changing policies are impacting employee.,"Its time to revise payments now, please have a look",3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20480057.htm
148, 22 Apr 2018,empReview_20262992,Former Employee - Anonymous Employee,I worked at Accenture full-time (More than 5 years),Senior Analyst,"Balance, Flexibility, Leadership, Values, Buzz","People, Benefits, Growth, Career Opportunities,",none,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20262992.htm
149, 7 May 2018,empReview_20471227,Current Employee - S S E(Senior Software Engineer),I have been working at Accenture full-time (Less than a year),Good only if you don't want challenges/learning at work,Everything depends on the project and industrial group you get. I was in utilities sector.Good if u don't want to do anything out of the box. Just follow their traditional approach.,Not much to learn. No excitement while working. Not too much of development projects. Management is also not that cooperative.,If the employees are giving their personal time as well to work then please try to address few of their basic concerns too. Don't take employees for granted every time.,2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20471227.htm
150, 22 Apr 2018,empReview_20259060,Current Employee - Analyst,I have been working at Accenture full-time (More than 3 years),Analyst,Good working environment along with highly ethical values. Good flexibility with work from home options.,Standardized salary for every one irrespective of performance.,Pay employees according to performance. Not just based on your budget.,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20259060.htm
151, 22 Apr 2018,empReview_20263846,Former Employee - Anonymous Employee,I worked at Accenture full-time (More than a year),Heaven for learners,Great place to kick start your career,Salary is not much impressive,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20263846.htm
152, 21 Apr 2018,empReview_20249472,Current Employee - Associate Software Engineer,I have been working at Accenture full-time (More than a year),Good place to work,facilities and best place for learning,no cons for Accenture,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20249472.htm
153, 21 Apr 2018,empReview_20250933,Current Employee - Team Lead,I have been working at Accenture full-time (More than 10 years),Review,Women friendly company that enables people to grow and learn. Fosters a challenfing,Not Applicable as I don't see any cons,Not Applicable,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20250933.htm
154, 22 Apr 2018,empReview_20255548,Current Employee - Test Engineering Senior Analyst,I have been working at Accenture full-time (More than 5 years),"Amazing service based company, a good project means good life at Accenture",Good work environmentGood people to work with,New hike structure is disappointing,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20255548.htm
155, 6 May 2018,empReview_20455327,Current Employee - Software Engineer,I have been working at Accenture full-time (More than a year),Long term stay not recommended for freshers,Stable CompanyContinous growth in India,Senior management not concerned about growth opportunities for freshers. If you are a fresher you will only get measly work to do.,None,2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20455327.htm
156, 21 Apr 2018,empReview_20248263,Current Employee - Software Test Engineer,I have been working at Accenture full-time (More than 3 years),Brief Overview of Accenture,"Best place to work in terms of infrastructure, new technologies, new IT stuff to learn , update and work as per new IT skills. Fun filled stuff to make yourself work with more passion.",Project and higher management has 90 percent to do with your career yearly hikes.,Working hours should be strictly followed so that work life is balanced.,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20248263.htm
157, 5 May 2018,empReview_20446602,Former Employee - Senior Software Engineer,I worked at Accenture full-time (More than 3 years),Good growth,Learn new technologiesNice peopleOnsiteNew opportunities,No transparency with appraisalsPoor bus facilities,None,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20446602.htm
158, 6 May 2018,empReview_20453298,Former Employee - Process Associate,I worked at Accenture full-time (More than a year),Accenture diaries,Good work cultureCooperative teamFun to work,"Less pay, politics at management level, no shift allowance",Please increase the pay standards,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20453298.htm
159, 20 Apr 2018,empReview_20236038,Current Employee - Software Engineer,I have been working at Accenture full-time (More than 3 years),Learning,"everything is good , you learn a lot,very good project.Testing projects are good.",more work but this cons i will consider in pros bcz u learn a lot,keep the good work up,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20236038.htm
160, 20 Apr 2018,empReview_20239048,Current Employee - Senior Developer,I have been working at Accenture full-time (More than a year),Successfactors Consultant,Good Working culture and learning opportunities.,"No Cons, good organization to work",Good Organization,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20239048.htm
161, 20 Apr 2018,empReview_20239209,Current Employee - Software Engineer,I have been working at Accenture full-time (More than 3 years),About Accenture,A high level of core values.A great Platform to start your career.,Uncertainity in getting pojects based on your skill set.,Employees should have the liberty to choose projects based on their skill set.,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20239209.htm
162, 20 Apr 2018,empReview_20242206,Former Employee - ASE,I worked at Accenture (More than a year),ASE,"Good for freshers, all depends on the project you get","If you get a good project, you will get to learn a lot of new things.",none,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20242206.htm
163, 20 Apr 2018,empReview_20240753,Current Employee - Applications Developer Analyst,I have been working at Accenture full-time (More than 3 years),Great,"We can Learn, apply, interact, improve,grow",Need to work for extended hours,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20240753.htm
164, 4 May 2018,empReview_20436044,Current Employee - Senior Software Engineer,I have been working at Accenture full-time (More than 3 years),About the Culture And work,It is really a good company to start your career or come as a lateral.HR policies are goodHelping employees and experts in their fields,you cannot buy out your notice periodyearly hike is not good even you are promotedvariable bonus is very high even you will not get till the half of that .. no matter how hard you worked without leaves and high changeability,None,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20436044.htm
165, 4 May 2018,empReview_20437907,Current Employee - Associate Manager,I have been working at Accenture full-time (More than 5 years),Good company to work with if you have network,Good company to work in if you have a good network or if you can build some.,Lot of politics and no where your work matters this is what I observed in 7 years.,None,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20437907.htm
166, 4 May 2018,empReview_20439209,Current Employee - Analyst,I have been working at Accenture full-time (More than a year),Accenture,"Less work Pressure. Decent Salary,Great team.Good place to learn",Less chances of changing the domain or area of interest.,please provide opportunities to grow in the fields where passion and talent lies.,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20439209.htm
167, 4 May 2018,empReview_20442862,Current Employee - Project Coordinator,I have been working at Accenture full-time (More than 5 years),Great place to work if you are in the right team!,"Great place for women to grow, free transport, First aid training",Transport is overworked & budget cut related problems,None,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20442862.htm
168, 4 May 2018,empReview_20443006,Current Employee - Associate Software Engineer,I have been working at Accenture full-time (More than a year),Service based company,"Can enjoy long tea,lunch,snacks breaks.Meet a lot of people in your training gft ,with whom you become close friends,it's a people oriented company everyone is nice,and support people earn the most because of shift allowance","Lots of formalities ,if you are looking for a change in profile or if you are looking to change your team within the same management",There should be some flexibility to change projects or pick up skills of one's choice,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20443006.htm
169, 19 Apr 2018,empReview_20220545,Former Employee - Financial Analyst,I worked at Accenture full-time (More than a year),Great,"Team is amazing , great cafe","Pay is less, night shifts",None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20220545.htm
170, 19 Apr 2018,empReview_20223925,Current Employee - Programmer Analyst,I have been working at Accenture full-time (More than 3 years),Good company,Work culture is very good.,Nothing much to mention about,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20223925.htm
171, 19 Apr 2018,empReview_20234163,Current Employee - Associate Manager,I have been working at Accenture full-time (More than 3 years),Great pace to work,"Opportunities, Initiatives, Learning, Inclusion and Diversity","Work Life balance, Midlevel Managers",Have efficient managers to avoid losing great resources,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20234163.htm
172, 19 Apr 2018,empReview_20221120,Former Employee - Software Development Analyst,I worked at Accenture full-time (More than a year),Associate Analyst,1.Amazing work place.2. good salary hike.3.friendly colleagues.,1. formal dress code.2. no more cons i enjoyed working at accenture.,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20221120.htm
173, 19 Apr 2018,empReview_20224753,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 3 years),Best Company to work,We can able to learn different new technologies,No Cons about Accenture still now,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20224753.htm
174, 19 Apr 2018,empReview_20225010,Former Employee - ASE,I worked at Accenture full-time (Less than a year),Nice place to work,"Flexibility,good work environment, good people",Only people at higher ranks are heard off,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20225010.htm
175, 19 Apr 2018,empReview_20225820,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 3 years),Software Engineer,Its good for fresher . Not too much work pressure upto 2 year.,Salary will increase very slowly,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20225820.htm
176, 19 Apr 2018,empReview_20229828,Former Employee - Senior Procurement Analyst,I worked at Accenture full-time (Less than a year),Just the right match,Let's you lead a good work life balance,Too much to and fro between the hierarchy to get approvals,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20229828.htm
177, 3 May 2018,empReview_20425159,Current Employee - Trade Settlement,I have been working at Accenture full-time (Less than a year),accenture,work environment is good,salary is lesstoo many restrictions,nothing,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20425159.htm
178, 3 May 2018,empReview_20425300,Former Employee - Associate Analyst,I worked at Accenture full-time (More than a year),Choose skills over the brand name.,- Great to start career- Salary is good,- redundant work- no skill upgrade- Will be stuck in company as there is not much to learn and grow- No Innovation,- help people to upgrade- Listen to employees complaints-HRs only take feedbacks from Managers.-Conduct communication classes for managers especially in India. Majority of them don't even know to provide pass on the message.,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20425300.htm
179, 18 Apr 2018,empReview_20207888,Current Employee - Test Automation Engineer,I have been working at Accenture full-time (More than a year),very good,nice to work there as,no cons are there far,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20207888.htm
180, 18 Apr 2018,empReview_20204452,Former Employee - Consultant,I worked at Accenture full-time (More than a year),Good company for start,"Lot of opportunities to learn,",Some times you can have issue with transport,Nothing,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20204452.htm
181, 18 Apr 2018,empReview_20207106,Current Employee - Applications Development Programmer Analyst,I have been working at Accenture full-time (Less than a year),great work culture and good work-life balance,this company offers you ease of working at your own convenience and has a great environment to work in,the project allocation process is quite random and depends entirely on your luck and not on your merit,quick deployment of resources into useful roles should take place,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20207106.htm
182, 18 Apr 2018,empReview_20207597,Former Employee - Trainer,I worked at Accenture full-time (Less than a year),Great place to work and lot to learn. Exposure you gain is helpful,The culture is very transparent and you are well informed of the expectations from your job,Getting a response from an online portal can take longer than expected and often you do not receive much to work with.,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20207597.htm
183, 18 Apr 2018,empReview_20218163,Current Employee - Senior Analyst,I have been working at Accenture full-time (More than 3 years),Descent place to work,Less politics than other MNC,As usual in other MNC they will try to cross train and kill your skill.,"To engage with your team to hear their voice, creating extra vertical will only help your job easy not the company or project.",4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20218163.htm
184, 17 Apr 2018,empReview_20191545,Current Employee - ASE,I have been working at Accenture full-time (Less than a year),Perks being at Accenture,its a very good company,No such con which is worth mentioning,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20191545.htm
185, 17 Apr 2018,empReview_20193592,Former Employee - CCE,I worked at Accenture full-time (More than a year),ACCENTURE REVIEW,It was my first company and I had great time working there.,Long shifts and cab facilities,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20193592.htm
186, 2 May 2018,empReview_20397799,Current Employee - Business and Technology Delivery Manager,I have been working at Accenture full-time (More than a year),Project Manager,Good working environment for professionals.,Nothing as such to write about.,None,2.0,2.0,2.0,2.0,2.0,2.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20397799.htm
187, 17 Apr 2018,empReview_20186971,Current Employee - UI-UX Designer,I have been working at Accenture (Less than a year),good company,Nice environment to work here,"No cons to describe , all good",None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20186971.htm
188, 17 Apr 2018,empReview_20187087,Current Employee - Senior Developer,I have been working at Accenture full-time (More than 3 years),Developer- Review (Chennai Location),- Work life balance.- Good pay,-I consider Chennai location to be lagging in terms of work culture and technically.- It all depends on the project.With each project you can see major differences of work culture even inside the same company,Nil.,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20187087.htm
189, 17 Apr 2018,empReview_20187807,Current Employee - Supply Chain Business Analyst,I have been working at Accenture full-time (More than 5 years),My Journey in Accenture,Very good principlesgood policies,specifically in my vertical (operations)mad managersno reward policiesno promotionsno / nil remuneration,respect and care for your employees.,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20187807.htm
190, 17 Apr 2018,empReview_20191910,Current Employee - Drug Safety Physician,I have been working at Accenture full-time (More than a year),Drug Safety Physician,"Global Culture, Good Brand Value, Competitive salaries, Respect for individual, Equal opportunity employer,",Senior management lacks vision and far sight. Micromanagement which is sometimes counter productive.,"Need to understand and familiarize with ground realities, Micromanagement sometimes can be counter productive,",4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20191910.htm
191, 17 Apr 2018,empReview_20194951,Current Employee - Software Test Engineer,I have been working at Accenture (More than 3 years),Good,Good work culture definitely as pros,Yet to figure out the con,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20194951.htm
192, 17 Apr 2018,empReview_20195672,Current Employee - Consultant,I have been working at Accenture full-time (More than 8 years),Great place to work.,One of the best paymasters in the Indian IT market. Great HR policies. Trustful of its employees. Value tenured resources.,Annual hikes are not great. It has more support than development projects. Cant think of more cons other than this.,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20195672.htm
193, 18 Apr 2018,empReview_20202781,Former Employee - Senior Software Engineer,I worked at Accenture full-time (More than 3 years),Great place to work in comparison to other servicing companies,1. Good work culture2. Flexible,1. Very less onshore opportunities.2. Management forces you to work on non-technical work3. Managers have full authority without responsibilities.,1. Created new positions/designations for technical people.,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20202781.htm
194, 1 May 2018,empReview_20382104,"Former Employee - Procurement Sourcing, Contract Management, Procurement Buyer",I worked at Accenture full-time (More than 8 years),"Procurement Sourcing, Contract Management,Procurement Buyer",Flexible at work.Can balance work and personal with an ease.,Management need to maintain their core value with the company.A lot of Nepotism,Be fair-and support the staff,3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20382104.htm
195, 1 May 2018,empReview_20386366,Current Employee - Senior Software Development Engineer,I have been working at Accenture full-time (More than 3 years),Good company to work with,1. Good salary hike for lateral hiring.2. Good onsite opportunity if working in a client project.3. Work life balance is very good.4. Good learning and training opportunity.5. Flexible working hours but depends upon project requirements and Project manager.6. If working in shifts then you get the shift and cab allowances.,"1. Very less hike in the next increment cycle for lateral hiring.2. For US and UK, only TL's can have onsite opportunity.3. Negative scope of cross training like from .net to Java.4. Make you fool in terms of variable pay. When you will leave you will definitely loose 3 months variable pay and to get the variable pay you should be company employee on the payment date. If your last working day is 1 day before, you will not get any variable pay.5. No variable pay or increment if you miss even a single mandatory training even if its of no use to you.6. Lot of support and maintenance projects.7. You don't have the opportunity to select project and technology.8. Some managers are so cheap that they can exploit the onsite or any other opportunity given to you for themselves.9. No support from HR.","Pay variable amount to the employees for the number of days, it was an employee.",3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20386366.htm
196, 1 May 2018,empReview_20386633,Current Employee - Software Engineering Analyst,I have been working at Accenture full-time (More than 3 years),Boring Time,"Process Oriented, Nice leave policy.","Low Salary, Bad Management, Rating your performance based on the time you sit in the office and not on the actual work you do.","There is still time to improve but not much, so act fast.",3.0,3.0,3.0,3.0,3.0,3.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20386633.htm
197, 16 Apr 2018,empReview_20171247,Current Employee - Associate,I have been working at Accenture full-time (More than a year),Senior Associate,Accenture is my dream company,Nothing about any downside of accenture,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20171247.htm
198, 16 Apr 2018,empReview_20170821,Current Employee - Software Test Analyst,I have been working at Accenture full-time (More than 3 years),Software Test Analyst,Good career growth.Good increment.So many projects are there for testing.Nice to work.,No process followed in my project.,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20170821.htm
