,date,reviewNo,employeeType,position,summary,pro,con,advice,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,reviewLink
20, 12 May 2018,empReview_20550870,Current Employee - Senior Software Engineer,I have been working at Accenture full-time (More than 8 years),Excellent company with numerous opportunities,Big brand and work culture. Opportunity to work with big fortune 100 clients,Salary offered to existing employees and promotions are getting tight every year,Have a check on HR to ensure they play thier role fairly and not under the influence of the project,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20550870.htm
21, 10 May 2018,empReview_20535461,Current Employee - Systems Engineer,I have been working at Accenture full-time (More than 3 years),great place to work,Everything here in this organization is good.,Nothing as such I noticed.,great.,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20535461.htm
22, 10 May 2018,empReview_20519226,Current Employee - Applications Development Analyst,I have been working at Accenture full-time (More than 3 years),Good Service based company,One of the best service based company in the market that gives significant hikes to its employers.,Too much intake of work force and placed them in bench.,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20519226.htm
23, 10 May 2018,empReview_20521244,Former Employee - Senior Software Engineer,I worked at Accenture full-time (More than 3 years),Process Oriented culture,Good work life balance.Multiple projects to keep a resource engaged.,Difficult to move out of a project.,Bring more transparency to the appraisal process.,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20521244.htm
24, 10 May 2018,empReview_20522020,Current Employee - Manager,I have been working at Accenture full-time (More than a year),Dynamic Company,Dynamic Management. They would always encourage you do everything in better way than it is being done currently. All leadership team members are role models.,"Sometimes work schedule are hectic, but at the end of the day one will get satisfied with quality of work.",N/A,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20522020.htm
25, 10 May 2018,empReview_20535268,Former Employee - Software Engineer,I worked at Accenture full-time (More than 3 years),Accenture is a great place to work to,all processes are defined and if you get a good project this firm is really good to work for.,if you join Accenture as a fresher then your salary growth will be average. Its a very good company for lateral hires.,None,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20535268.htm
26, 9 May 2018,empReview_20502294,Current Employee - Anonymous Employee,I have been working at Accenture full-time (More than 3 years),Application Developer Analyst,Cool Environment.I'm working from 3 years finding no issues,I have no cons for accenture,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20502294.htm
27, 9 May 2018,empReview_20516923,Current Employee - Business Analyst,I have been working at Accenture full-time (More than 5 years),GPTW,"Flexible working hours, no time punching, great culture",I dont have a con as of now,None,5.0,5.0,5.0,5.0,5.0,5.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20516923.htm
28, 9 May 2018,empReview_20503398,Former Employee - Consultant,I worked at Accenture full-time (More than 3 years),Work culture,"Flexible time , great work environment","Little politics, more of support projects!!!",NA,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20503398.htm
29, 9 May 2018,empReview_20504256,Former Employee - Software Development Engineer In Test,I worked at Accenture full-time (More than 3 years),"good company,you will get to know how to deal with people","competitive environmen ,talented people","BIT LOW ON TECHNICAL THINGS,MANY DUMB GUYS AROUND",NOTHING,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20504256.htm
30, 9 May 2018,empReview_20516381,Current Employee - Senior Software QA Engineer,I have been working at Accenture full-time (More than 5 years),Good company,- Well managed learning material for advance technologies (e-library)- Good Office culture & work environment- Shuttle services for general shift,- less interactions between HR rep & resources- same is the case with the Assoc Manager & Manager,Should have frequent meet ups with your team to understand the nature of work at their level and how the team is coping with day to day issues/struggles,4.0,4.0,4.0,4.0,4.0,4.0,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm/Reviews/Employee-Review-Accenture-RVW20516381.htm
